Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
18,1.0,0.0,0.0,973.0,3.0,326.0,5821.0,0.0,3260.0,0.0,0.0,740.286598443985,,,,,,,,,,,,,,,,,,,,,707.7871068405867,255.87819032044615,962.2363956562496,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,1.0,0.0,0.0,1294.0,4.0,321.0,6142.0,0.0,3010.5,0.0,0.0,762.1968824863434,,,,,,,,,,,,,,,,,,,,,687.5220793195606,243.58732534152426,938.85207567087,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1.0,0.0,0.0,1620.0,5.0,326.0,6468.0,0.0,3260.0,0.0,0.0,784.3453595638275,,,,,,,,,,,,,,,,,,,,,707.7871068405867,255.87819032044615,962.2363956562496,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,1946.0,6.0,326.0,6794.0,0.0,3051.0,0.0,0.0,806.5409188270569,,,,,,,,,,,,,,,,,,,,,647.1266440128934,290.748519121428,950.8758995130986,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,2273.0,7.0,327.0,7121.0,0.0,3194.0,0.0,0.0,829.0595679283142,,,,,,,,,,,,,,,,,,,,,686.8235083966402,259.3822246296715,957.6637651949354,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,2594.0,8.0,321.0,7442.0,0.0,3048.5,0.0,0.0,850.8985583782196,,,,,,,,,,,,,,,,,,,,,661.6787989969667,233.14867202312897,933.8495507270067,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,2841.0,9.0,247.0,7689.0,0.0,2379.5020000001005,0.0,0.0,867.8058712482452,,,,,,,,,,,,,,,,,,,,,599.2966288187333,270.20780836179466,908.3225523412416,1e-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,3160.0,10.0,319.0,8008.0,0.0,2867.0,0.0,0.0,889.5099716186523,,,,,,,,,,,,,,,,,,,,,647.7677631961707,220.47231203225604,876.238108767586,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,3483.0,11.0,323.0,8331.0,0.0,3002.0,0.0,0.0,911.5258190631866,,,,,,,,,,,,,,,,,,,,,644.489633083328,229.83122285588442,929.5944294352021,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,3807.0,12.0,324.0,8655.0,0.0,3202.0,0.0,0.0,933.5986526012421,,,,,,,,,,,,,,,,,,,,,694.9480069216174,265.37988321659117,959.9681389635954,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
